ID,Event,Event Type,Start Date,End Date,Schedule,Neighborhood,Address,Notes,Tickets Link
62,Factory Town,Party,12/3/2025,12/7/2025,9PM - 7AM,Hialeah,"4800 NW 37th Ave, Miami, FL 33142",,https://www.factorytown.com/events/
63,Faena Art,Art Show,12/2/2025,12/7/2025,10AM - 7PM,Miami Beach,"3201 Collins Ave, Miami Beach, FL 33140",,https://www.faenaart.org/programs/miami-art-week-2025
64,Faena Music Series,Party,12/5/2025,12/5/2025,3PM,Miami Beach,"3201 Collins Ave, Miami Beach, FL 33140",,https://www.eventbrite.com/e/faena-art-sunset-music-series-tickets-1970802142260?aff=oddtdtcreator
65,Ferrari Party,Party,,,,,,Invite Only,
66,Flower Party: Art Basel Edition,Party,12/6/2025,12/6/2025,8PM - 12AM,Brickell,"Novotel Rooftop (Brickell) 1500 SW 1st Ave, Miami, FL 33129",,https://posh.vip/e/flower-party-art-basel-vol-2
67,Francis Mercier,Party,12/3/2025,12/3/2025,11PM - 11AM,Downtown,"34 NE 11th St, Miami, FL 33132",,https://dice.fm/event/rybmdw-francis-mercier-presents-deep-root-tribe-space-basel-2025-3rd-dec-club-space-miami-miami-tickets?pid=99db2a70&_branch_match_id=1263983458127435889&utm_medium=partners_api&_branch_referrer=H4sIAAAAAAAAA8soKSkottLXz8nMy9ZLyUxO1UvL1fc1M7QwsUxJsrAwsLQvyEyxtQRyjBLNDdTqilLTUouKMvPS45OK8suLU4tsnTOK8nNTAUxT75RIAAAA
68,"Freakquencies: Lydia Lunch & Tim Dahl, Laundry Room Squelchers, The Dewars, Black Brigade, Augusto",Party,12/7/2025,12/7/2025,9PM - 5AM,,,,https://shotgun.live/en/events/freakquencies-with-lydia-lunch-tim-dahl
69,Frequency: Basel Edition,Party,12/3/2025,12/3/2025,9PM - 3AM,Wynwood,"Electric 23 (144 NW 23rd St, Miami, FL 33127)",,https://posh.vip/e/frequency-basel-edition
70,Gordo,Party,12/3/2025,12/3/2025,8PM - 4AM,Wynwood,"150 NW 21st St, Miami, FL 33127",,https://posh.vip/e/long-feng-gordo-x-mahmut
71,Green Velvet B2B Joseph Capriati,Party,12/3/2025,12/3/2025,8PM - 4AM,Wynwood,"150 NW 21st St, Miami, FL 33127",,https://posh.vip/e/phase-3-presents-green-velvet-b2b-joseph-capriati-4-hour-set
72,HarryPotterObamaSonic10inU,Party,12/4/2025,12/4/2025,6PM - 9PM,Miami Beach,"South Pointe Tavern, 40 South Pointe Dr #109, Miami Beach, FL 33139",,https://luma.com/xdo9cwks
73,Hive Wynwood,Party,12/4/2025,12/8/2025,4PM - 3AM,Wynwood,"The Wynwood Marketplace - 2250 NW 2nd Ave, Miami, FL 33127",,https://www.eventbrite.com/e/hive-2025-a-cocktail-art-and-culinary-village-in-wynwood-miami-art-week-tickets-1967707769909?aff=oddtdtcreator&fbclid=PAZXh0bgNhZW0CMTEAc3J0YwZhcHBfaWQMMjU2MjgxMDQwNTU4CGNhbGxzaXRlAjE1AAGnMIgJKKo5Zj6kV80uGcLDsuskqSKS3ZOyl4kudmzcY-3pkmv_R5NLH_s0P1Q_aem_YiCo_GiG06aSwXv37JeUFw
74,Hugel,Party,12/3/2025,12/3/2025,9PM - 7AM,Hialeah,"4800 NW 37th Ave, Miami, FL 33142",,https://dice.fm/event/oenkgm-factory-basel-2025-wednesday-pass-3rd-dec-factory-town-miami-tickets
75,Hugel,Party,12/3/2025,12/3/2025,5PM - 3AM,Little River,"300 Northeast 71st Street, Miami, Florida 33138",,https://dice.fm/event/2wxoa6-hugel-unkommon-art-week-4th-dec-little-river-studios-miami-tickets
76,IKEA Open House Miami: Private Event,Pop Up,12/4/2025,12/4/2025,3PM - 6PM,Miami Beach,1108 Lincoln Road,,https://partiful.com/e/zgposG39nUptfH57sXs3
77,IKEA Open House Miami: Public Event,Pop Up,12/6/2025,12/6/2025,2PM - 9PM,Miami Beach,1108 Lincoln Road,No RSVP Required,
78,Immersive Adventure: Basel Edition ,Art Show,12/4/2025,12/4/2025,8:30PM - 2:30AM,Miami Beach,"M2 Miami Beach 1235 Washington Ave, Miami Beach, FL 33139",,https://luma.com/ImmersiveNolcha
79,Ink Miami Art Fair,Conference,12/3/2025,12/3/2025,9AM - 7PM,Miami Beach,"Suites of Dorchester, 1850 Collins Ave., Miami Beach, FL 33139",,https://www.inkartfair.com/
80,Ink Miami Art Fair,Conference,12/4/2025,12/4/2025,10AM - 9PM,Miami Beach,"Suites of Dorchester, 1850 Collins Ave., Miami Beach, FL 33139",,https://www.inkartfair.com/
81,Ink Miami Art Fair,Conference,12/5/2025,12/6/2025,10AM - 7PM,Miami Beach,"Suites of Dorchester, 1850 Collins Ave., Miami Beach, FL 33139",,https://www.inkartfair.com/
82,Ink Miami Art Fair,Conference,12/7/2025,12/7/2025,10AM - 3PM,Miami Beach,"Suites of Dorchester, 1850 Collins Ave., Miami Beach, FL 33139",,https://www.inkartfair.com/
83,John Summit,Party,12/3/2025,12/5/2025,,Miami Beach,"1819 79th Street Causeway North Bay Village, FL 33141",,https://posh.vip/e/basel-edition-john-summit-presented-by-palm-tree-club-miami
84,Joia Beach,Party,12/6/2025,12/6/2025,5PM - 11PM,Miami Beach,"1111 Parrot Jungle Trail, Miami, Florida 33132",,https://dice.fm/partner/tickets/event/q28d79-solene-joia-beach-2nomads-terranova-more-6th-dec-joia-beach-miami-tickets?dice_id=7604957&dice_channel=web&dice_tags=organic&dice_campaign=DICE&dice_feature=mio_marketing&mc_cid=350fff871e&mc_eid=3271efb354&_branch_match_id=1263983458127435889&utm_source=web&utm_campaign=DICE&utm_medium=mio_marketing&_branch_referrer=H4sIAAAAAAAAA8soKSkottLXz8nMy9ZLyUxO1UvL1Y9IS7G0NDZPskxJTLRPzk9JtfX0C%2FZ0cQ1ydHZ2DQ5Wy02OT85MsTU2NUhLS7MwN0wFiaSCRIyAnLQkY1MTtbqi1LTUoqLMvPT4pKL88uLUIlvnjKL83FQABFT%2B2HIAAAA%3D
85,Little River Studios,Party,12/4/2025,12/6/2025,8PM - 3AM,Little River,"300 Northeast 71st Street, Miami, Florida 33138",,https://dice.fm/event/avgexq-unkommon-art-week-3-day-pass-thurs-fri-sat-4th-dec-little-river-studios-miami-tickets
86,LIV,Party,12/3/2025,12/7/2025,11:30PM,Miami Beach,"Fontainebleau Miami Beach - 4441 Collins Avenue, Miami Beach, FL 33140",,https://www.livnightclub.com/miami/special-events/liv-miami-basel-edition-2025/
87,"Long Feng Art Car: Blond:ish, Desiree, Apache, Kimonos, Luch",Party,12/4/2025,12/4/2025,8PM - 4AM,Wynwood,"150 NW 21st Miami,FL 33127",,https://posh.vip/e/tehmplo
88,"Long Feng Art Car: Gordo x Mahmut Orhan, Joezi",Party,12/3/2025,12/3/2025,8PM - 4AM,Wynwood,"150 NW 21st Miami,FL 33127",,https://posh.vip/e/long-feng-gordo-x-mahmut
89,Marshmello,Party,12/6/2025,12/6/2025,,Downtown,"29 NE 11th St, Miami, 33132",,https://speakeasygo.com/E11EVEN/E11EVEN-MIAMI-ART-WEEK-FT-MARSHMELLO?eid=EVE-1BH8WS
90,Maxim Party,Party,,,8PM,,,,
91,Medium Cool,Party,,,,Miami Beach,,,
