ID,Event,Event Type,Start Date,End Date,Schedule,Neighborhood,Address,Notes,Tickets Link
152,The Official Miami Art Week Kickoff Party,Party,12/1/2025,12/1/2025,6:30PM - 10PM,Coral Gables,"The Biltmore Hotel, Coral Gables",Invite Only,
153,The Queens* Gathering,Party,12/7/2025,12/7/2025,12PM - 5PM,Miami Beach,Sagamore Hotel South Beach,,https://luma.com/f5kagz2a
154,The Wellness Oasis by Chase Bank,Wellness,12/2/2025,12/3/2025,8AM - 7PM,Downtown,"Reserve Miami Seaplane - 1000 MacArthur Cswy, Miami, FL 33132",,https://thewellnessoasis.splashthat.com/?fbclid=PARlRTSAOQMxlleHRuA2FlbQIxMABzcnRjBmFwcF9pZA8xMjQwMjQ1NzQyODc0MTQAAaenMtkr0modBNpyiof5XSikMRQJlMUgjcoFr2uZn5HX-2lLLx2ooZoMpB8Fow_aem_0HiOAENy7p8sh30Dxbyz0A
155,Tiesto,Party,12/3/2025,12/3/2025,9PM - 7AM,Hialeah,"4800 NW 37th Ave, Miami, FL 33142",,https://dice.fm/event/oenkgm-factory-basel-2025-wednesday-pass-3rd-dec-factory-town-miami-tickets
156,Tiesto,Party,12/5/2025,12/5/2025,8PM - 3AM,Little River,"300 Northeast 71st Street, Miami, Florida 33138",,https://dice.fm/event/6db677-tisto-unkommon-art-week-5th-dec-little-river-studios-miami-tickets
157,Toe Jam Backlot Parties,Party,12/3/2025,12/6/2025,,Wynwood,"150 NW 21st St, Miami, FL 33127",,https://toejambacklot.com/
158,Untitled Art Miami Beach,Art Show,12/3/2025,12/7/2025,11AM - 7PM,Miami Beach,"Untitled Art Fair (tent) - Ocean Drive and 12th Street, Miami Beach, FL",,https://untitledartfairs.com/
159,Untitled Art Miami Beach: VIP & Press Preview,Art Show,12/2/2025,12/2/2025,10AM - 7PM,Miami Beach,"Ocean Drive & 12th Street, Miami Beach",,https://untitledartfairs.com
160,Victim 15 After Party,Party,12/4/2025,12/4/2025,10PM,,,Location Revealed to Ticket Holders,https://checkout.square.site/merchant/MLZ059NFEQHSF/checkout/VIWYIEL75W2FGVMFBTX3QVP5
161,Victim 15 Fashion Show,Art Show,12/4/2025,12/4/2025,,,,Location Revealed to Ticket Holders,https://victim15.com/pages/contact
162,Wellness Retreat with The Ethereal,Wellness,12/6/2025,12/6/2025,11AM - 1PM,Brickell,"Flow Brickell - 275 SW 6th St, Miami, FL 33130",,https://luma.com/yq6qg1om
163,Wellness Wonderland at Faena ,Wellness,11/30/2025,11/30/2025,9AM - 1PM,Miami Beach,"3201 Collins Ave, Miami Beach, FL 33140",,https://www.faena.com/miami-beach/things-to-do/event-calendar/wellness-wonderland-0
164,Wondering How is 2025,Art Show,12/5/2025,12/5/2025,10AM - 8PM,Miami Beach,"Miami Beach FL, USA",,https://luma.com/yq46jhb0
165,Yatch Party: 10 Years of Miki Beach & Burningman Camp,Party ,12/5/2025,12/5/2025,5PM - 11PM,Coconut Grove,3400 PAN AMERICAN DR.  MIAMI FL 33133,,https://ra.co/events/2305646
166,YogArt X Ahana Sunday Service ,Wellness,12/7/2025,12/7/2025,10:15AM - 11:15AM,Design District,"Palm Court - 140 NE 39th St, Miami FL, 33137",,https://www.miamidesigndistrict.com/event/3260/yogart-x-ahana-sunday-service/
167,ZeyZey,Party,12/2/2025,12/7/2025,7PM - 3AM,Little River,"353 NE 61st St, Miami, FL 33137",,https://zeyzeymiami.com/tickets/
